nombre,grupo,movimiento,equipo,nivel,indicaciones
Flexiones de pecho,pecho,empuje,ninguno,principiante,
Press de banca con barra,pecho,empuje,barra,intermedio,
Press inclinado con mancuernas,pecho,empuje,mancuernas,intermedio,
Aperturas en banco,pecho,empuje,mancuernas,intermedio,
Fondos entre bancos,pecho,empuje,banco,principiante,
Remo con mancuerna a una mano,espalda,jalon,mancuernas,principiante,
Jalón al pecho en polea,espalda,jalon,polea,principiante,
Dominadas asistidas,espalda,jalon,maquina,intermedio,
Remo con barra,espalda,jalon,barra,avanzado,
Face pull con banda,espalda,jalon,banda,principiante,
Sentadilla libre,pierna,sentadilla,ninguno,principiante,
Sentadilla con barra,pierna,sentadilla,barra,avanzado,
Sentadilla goblet,pierna,sentadilla,kettlebell,principiante,
Prensa de piernas,pierna,sentadilla,maquina,principiante,
Peso muerto rumano,pierna,bisagra,mancuernas,intermedio,
Puente de glúteo,pierna,bisagra,ninguno,principiante,
Zancadas caminando,pierna,zancada,mancuernas,intermedio,
Zancada búlgara,pierna,zancada,banco,avanzado,
Elevación de talones,pierna,empuje,ninguno,principiante,
Press militar con mancuernas,hombro,empuje,mancuernas,intermedio,
Elevaciones laterales,hombro,empuje,mancuernas,principiante,
Pájaros con banda,hombro,jalon,banda,principiante,
Curl de bíceps con mancuernas,brazo,jalon,mancuernas,principiante,
Extensión de tríceps en polea,brazo,empuje,polea,principiante,
Plancha frontal,core,core,ninguno,principiante,
Plancha lateral,core,core,ninguno,intermedio,
Dead bug,core,core,ninguno,principiante,
Elevación de piernas colgado,core,core,barra,avanzado,
Caminata inclinada,cardio,cardio,maquina,principiante,
Saltos de cuerda,cardio,cardio,ninguno,intermedio,
